NPRODUCTO,CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
40,3703,8,12,22,26,34,55,30,74100000,10/02/2023
40,3702,4,6,21,29,51,52,27,70700000,08/02/2023
40,3701,7,10,28,32,40,51,50,68100000,05/02/2023
40,3700,4,25,26,47,53,56,37,64100000,03/02/2023
40,3699,2,11,15,32,37,44,55,60500000,01/02/2023
40,3698,2,19,30,38,42,48,20,57700000,29/01/2023
40,3697,2,15,19,36,42,43,13,54200000,27/01/2023
40,3696,12,14,36,38,45,48,29,50700000,25/01/2023
40,3695,1,3,18,19,50,56,52,48300000,22/01/2023
40,3694,1,8,11,19,22,27,42,45000000,20/01/2023
40,3693,1,17,18,27,49,53,25,41400000,18/01/2023
40,3692,1,6,15,24,30,55,46,38700000,15/01/2023
40,3691,10,20,25,46,52,56,33,34700000,13/01/2023
40,3690,1,38,40,42,50,56,4,30900000,11/01/2023
